timestamp,open,high,low,close,volume
2017-04-14,1169.99,1193.0,1142.0,1167.35,9256.56662064
2017-04-15,1166.28,1192.5,1160.61,1181.61,1618.99124983
2017-04-16,1181.61,1183.85,1150.0,1172.0,2783.05332905
2017-04-17,1171.99,1192.5,1161.0,1185.65,3393.86178964
2017-04-18,1185.85,1210.0,1174.88,1202.04,5464.95151687
2017-04-19,1202.01,1209.99,1190.0,1205.5,4670.98483803
2017-04-20,1205.5,1243.88,1190.0,1227.33,7380.633081439999
2017-04-21,1227.33,1252.32,1227.33,1238.85,4887.7609689500005
2017-04-22,1238.85,1247.15,1199.0,1240.78,4091.3842355399993
2017-04-23,1240.78,1248.99,1223.42,1239.5,3037.14319619
2017-04-24,1239.5,1252.8,1234.0,1252.31,3014.32892674
2017-04-25,1252.62,1280.0,1250.12,1276.23,4944.81746318
2017-04-26,1276.23,1330.0,1265.0,1300.82,7991.8651185399995
2017-04-27,1300.82,1338.0,1281.0,1327.28,6546.365905799999
2017-04-28,1326.5,1347.02,1299.0,1314.05,8508.141119939999
2017-04-29,1314.09,1342.8,1302.8,1336.03,4495.693941850001
2017-04-30,1336.03,1342.0,1315.68,1334.83,2834.61475334
2017-05-01,1334.83,1425.0,1330.0,1407.9,8270.52411799
2017-05-02,1409.98,1481.73,1388.0,1433.07,9571.485097499999
2017-05-03,1433.08,1498.88,1418.21,1491.54,9569.167214550002
2017-05-04,1491.58,1623.01,1480.02,1539.64,16976.4346989
2017-05-05,1539.65,1609.0,1444.94,1517.84,18852.2900897
2017-05-06,1518.37,1578.97,1495.0,1558.04,9157.84121685
2017-05-07,1558.0,1570.0,1525.0,1530.57,6555.285021600001
2017-05-08,1530.59,1610.0,1525.1,1604.39,17033.93585771
2017-05-09,1604.01,1760.4,1592.0,1744.35,17644.680324729998
2017-05-10,1744.35,1794.21,1661.07,1771.12,12548.15937411
2017-05-11,1768.01,1892.0,1745.0,1836.09,13691.13991809
2017-05-12,1836.11,1840.07,1650.0,1680.0,16404.58989644
2017-05-13,1679.99,1747.0,1601.46,1720.91,12732.82523066
2017-05-14,1720.91,1815.0,1720.91,1757.0,5475.45350626
2017-05-15,1757.56,1792.0,1682.56,1691.9,12152.23109776
2017-05-16,1691.9,1750.0,1641.22,1730.67,16230.45700394
2017-05-17,1736.0,1840.42,1670.01,1795.0,17197.567632569997
2017-05-18,1799.96,1870.0,1765.26,1858.91,13215.85401406
2017-05-19,1860.4,1954.99,1860.04,1925.0,13380.79191401
2017-05-20,1924.99,1989.0,1914.0,1974.98,12411.59616094
2017-05-21,1974.98,2063.11,1961.52,2008.69,7958.38141999
2017-05-22,2008.7,2230.34,2008.69,2138.01,13390.411012550001
2017-05-23,2138.73,2268.12,2001.0,2239.99,15850.76009724
2017-05-24,2239.99,2470.0,2210.01,2470.0,19381.29014345
2017-05-25,2470.0,2760.1,2263.72,2369.87,32598.2234811
2017-05-26,2366.27,2599.12,2060.0,2287.92,28228.458025440003
2017-05-27,2272.91,2350.0,1850.0,2133.0,29420.97644782
2017-05-28,2133.0,2313.96,2001.0,2155.44,15622.23567383
2017-05-29,2155.38,2330.0,2081.0,2317.65,11632.181570879999
2017-05-30,2317.65,2350.0,2214.95,2251.0,13373.58086713
2017-05-31,2251.0,2334.0,2154.28,2304.63,17025.905694759997
2017-06-01,2304.62,2456.39,2269.36,2390.0,18183.67142666
2017-06-02,2390.0,2449.55,2360.0,2418.78,12471.31619116
2017-06-03,2421.99,2584.34,2418.81,2571.87,10496.209799709999
2017-06-04,2571.85,2576.18,2477.99,2484.64,9934.0536687
2017-06-05,2483.87,2650.0,2460.0,2634.99,10628.286603690001
2017-06-06,2633.88,2933.0,2633.42,2860.57,27461.369534179998
2017-06-07,2860.58,2893.28,2754.67,2778.01,13414.57505577
2017-06-08,2778.0,2810.0,2612.5,2758.0,16912.62791501
2017-06-09,2758.0,2868.23,2738.03,2844.0,8808.850679230001
2017-06-10,2837.01,2912.98,2790.0,2879.0,8585.94822221
2017-06-11,2881.01,2960.24,2800.0,2940.48,8380.18632611
2017-06-12,2940.88,2980.0,2480.03,2550.01,28118.362726569998
2017-06-13,2559.91,2783.62,2559.91,2709.77,18284.97202701
2017-06-14,2706.73,2801.0,2490.01,2540.73,23611.17487158
2017-06-15,2542.45,2552.06,2120.0,2326.49,40196.59313172
2017-06-16,2325.52,2525.0,2289.62,2518.53,16550.33590021
2017-06-17,2518.52,2668.44,2412.1,2651.91,11806.6789065
2017-06-18,2653.28,2674.4,2466.0,2494.28,9061.111488530001
2017-06-19,2494.28,2596.0,2460.62,2557.52,10990.83856742
2017-06-20,2555.03,2783.0,2553.02,2768.0,14469.75743188
2017-06-21,2768.0,2789.0,2632.81,2681.7,14312.203931659998
2017-06-22,2681.67,2740.0,2594.61,2716.6,13693.16025465
2017-06-23,2705.68,2745.0,2675.71,2725.0,7576.48514748
2017-06-24,2725.39,2733.8,2525.0,2528.21,12722.08377766
2017-06-25,2531.21,2635.72,2483.41,2496.64,10057.511699409999
2017-06-26,2496.64,2550.03,2317.2,2345.05,21135.688705840003
2017-06-27,2350.21,2465.0,2291.0,2412.99,19748.79041231
2017-06-28,2412.0,2570.0,2410.01,2559.33,13171.685920099999
2017-06-29,2557.56,2594.78,2500.31,2573.99,8767.025263110001
2017-06-30,2569.03,2573.78,2503.01,2519.89,8233.43185585
2017-07-01,2517.0,2525.83,2404.89,2439.99,8710.55612459
2017-07-02,2432.42,2491.99,2374.34,2489.98,9197.125487
2017-07-03,2487.01,2595.0,2472.68,2553.98,11893.12273422
2017-07-04,2553.57,2639.47,2539.86,2564.55,10090.79949184
2017-07-05,2558.45,2621.0,2530.1,2618.15,10323.03269725
2017-07-06,2618.15,2623.0,2522.0,2603.78,9012.83544544
2017-07-07,2600.43,2612.0,2486.01,2528.95,8513.62017278
2017-07-08,2528.0,2549.8,2462.0,2545.49,6271.98041697
2017-07-09,2544.5,2564.65,2515.0,2538.6,3955.34711289
2017-07-10,2533.24,2540.16,2365.11,2407.0,13130.030014340002
2017-07-11,2408.01,2410.22,2242.62,2315.65,20794.90361599
2017-07-12,2315.0,2408.84,2239.54,2385.22,13522.78907494
2017-07-13,2392.84,2425.16,2312.93,2347.23,9287.72231237
2017-07-14,2347.32,2357.84,2179.62,2199.9,10631.10026815
2017-07-15,2199.9,2226.0,1978.0,2078.0,20063.794521640004
2017-07-16,2076.22,2084.42,1830.0,1866.02,24884.83957704
2017-07-17,1869.98,2152.0,1850.93,2123.24,23071.27119045
2017-07-18,2123.23,2374.78,2123.23,2359.95,27815.39167477
2017-07-19,2359.97,2402.5,2227.0,2234.99,18109.147010430002
2017-07-20,2227.0,2680.0,2223.0,2648.87,25588.405037700002
2017-07-21,2648.87,2938.0,2614.0,2629.0,26899.91953221
2017-07-22,2629.0,2882.0,2611.39,2810.86,13581.60844529
2017-07-23,2812.0,2855.0,2640.0,2761.85,11367.607740039999
2017-07-24,2769.97,2800.0,2701.0,2772.73,10044.64532439
2017-07-25,2772.68,2775.79,2450.0,2489.99,18736.13525321
2017-07-26,2490.0,2608.96,2400.0,2471.42,19569.16762569
2017-07-27,2472.19,2600.0,2443.7,2565.11,10762.66963596
2017-07-28,2565.11,2825.0,2542.46,2751.9,14929.98204131
2017-07-29,2751.73,2800.0,2657.39,2736.58,9782.3663931
2017-07-30,2736.58,2774.45,2569.69,2718.07,11877.301704160001
2017-07-31,2718.15,2848.77,2680.01,2837.44,9626.39063224
